Owner ID,Contact Info,Name
OWN012345,julia@example.com,Juliain
OWN024689,tina@example.com,Tina
OWN114371,sai@gmail.com,shravan
OWN120904,uttje@gmail.com,uttej singh
OWN123456,alice@example.com,Alice
OWN135790,kevin@example.com,Kevin
OWN184470,string@gmail.com,string
OWN234567,bob@example.com,Bob
OWN246801,laura@example.com,Laura
OWN345678,charlie@example.com,Charlie
OWN357912,mike@example.com,Mike
OWN456789,david@example.com,David
OWN468023,nina@example.com,Nina
OWN484692,shr@gmail.com,shravan
OWN567890,eva@example.com,Eva
OWN579134,oscar@example.com,Oscar
OWN658414,gayle@gmail.com,chris
OWN678901,frank@example.com,Frank
OWN680245,paula@example.com,Paula
OWN789012,grace@example.com,Grace
OWN791356,quinn@example.com,Quinn
OWN802467,rachel@example.com,Rachel
OWN853626,2345678943,saish
OWN890123,hannah@example.com,Hannah
OWN901234,ian@example.com,Ian
OWN913578,steve@example.com,Steve
OWN946538,1111111111,payal
